site,region,reef_zone,depth,dist_river,dist_mpa,species,pc
beril,southwest,shelf edge,20,12.2,0,Agaricia agaricites,0.842
beril,southwest,shelf edge,20,12.2,0,Madracis decactis,0.038
beril,southwest,shelf edge,20,12.2,0,Meandrina meandrites,0.268
beril,southwest,shelf edge,20,12.2,0,Montastraea cavernosa,1.74
beril,southwest,shelf edge,20,12.2,0,Orbicella annularis,2.605
beril,southwest,shelf edge,20,12.2,0,Orbicella faveolata,4.312
beril,southwest,shelf edge,20,12.2,0,Orbicella franksi,0.9
beril,southwest,shelf edge,20,12.2,0,Porites astreoides,1.236
beril,southwest,shelf edge,20,12.2,0,Porites porites,1.176
beril,southwest,shelf edge,20,12.2,0,Pseudodiploria strigosa,0.318
beril,southwest,shelf edge,20,12.2,0,Siderastrea siderea,1.462
boya vieja (2015),southwest,shelf edge,20,16.3,0,Agaricia agaricites,1.006
boya vieja (2015),southwest,shelf edge,20,16.3,0,Agaricia lamarcki,0.39
boya vieja (2015),southwest,shelf edge,20,16.3,0,Diploria labyrinthiformis,0.22799999999999998
boya vieja (2015),southwest,shelf edge,20,16.3,0,Meandrina meandrites,0.268
boya vieja (2015),southwest,shelf edge,20,16.3,0,Montastraea cavernosa,0.34400000000000003
boya vieja (2015),southwest,shelf edge,20,16.3,0,Orbicella annularis,7.09
boya vieja (2015),southwest,shelf edge,20,16.3,0,Orbicella faveolata,8.826
boya vieja (2015),southwest,shelf edge,20,16.3,0,Orbicella franksi,5.352
boya vieja (2015),southwest,shelf edge,20,16.3,0,Porites astreoides,3.394
boya vieja (2015),southwest,shelf edge,20,16.3,0,Porites furcata,0.092
boya vieja (2015),southwest,shelf edge,20,16.3,0,Porites porites,0.384
boya vieja (2015),southwest,shelf edge,20,16.3,0,Siderastrea siderea,0.20400000000000001
cabezas de san juan,north/northeast,fore reef,10,8.8,0,Diploria labyrinthiformis,0.44400000000000006
cabezas de san juan,north/northeast,fore reef,10,8.8,0,Montastraea cavernosa,0.33199999999999996
cabezas de san juan,north/northeast,fore reef,10,8.8,0,Porites astreoides,1.984
cabezas de san juan,north/northeast,fore reef,10,8.8,0,Pseudodiploria clivosa,0.148
cabezas de san juan,north/northeast,fore reef,10,8.8,0,Pseudodiploria strigosa,0.746
cabezas de san juan,north/northeast,fore reef,10,8.8,0,Siderastrea siderea,1.266
canal luis pena,vieques/culebra,fore reef,5,32,0,Colpophyllia natans,0.45399999999999996
canal luis pena,vieques/culebra,fore reef,5,32,0,Orbicella annularis,4.268
canal luis pena,vieques/culebra,fore reef,5,32,0,Orbicella faveolata,0.518
canal luis pena,vieques/culebra,fore reef,5,32,0,Orbicella franksi,0.176
canal luis pena,vieques/culebra,fore reef,5,32,0,Porites astreoides,1.09
canal luis pena,vieques/culebra,fore reef,5,32,0,Porites furcata,0.296
canal luis pena,vieques/culebra,fore reef,5,32,0,Porites porites,0.65
canal luis pena,vieques/culebra,fore reef,5,32,0,Siderastrea siderea,0.04
canjilones (vieques),vieques/culebra,bank/shelf,15,20.5,10,Agaricia agaricites,1.354
canjilones (vieques),vieques/culebra,bank/shelf,15,20.5,10,Agaricia lamarcki,0.184
canjilones (vieques),vieques/culebra,bank/shelf,15,20.5,10,Orbicella annularis,4.953
canjilones (vieques),vieques/culebra,bank/shelf,15,20.5,10,Orbicella faveolata,5.306
canjilones (vieques),vieques/culebra,bank/shelf,15,20.5,10,Orbicella franksi,1.6480000000000001
canjilones (vieques),vieques/culebra,bank/shelf,15,20.5,10,Porites astreoides,2.95
canjilones (vieques),vieques/culebra,bank/shelf,15,20.5,10,Porites porites,0.136
canjilones (vieques),vieques/culebra,bank/shelf,15,20.5,10,Siderastrea siderea,0.502
carlos rosario,vieques/culebra,fore reef,10,32,0,Agaricia agaricites,0.076
carlos rosario,vieques/culebra,fore reef,10,32,0,Montastraea cavernosa,0.422
carlos rosario,vieques/culebra,fore reef,10,32,0,Orbicella annularis,3.9819999999999998
carlos rosario,vieques/culebra,fore reef,10,32,0,Orbicella faveolata,1.642
carlos rosario,vieques/culebra,fore reef,10,32,0,Orbicella franksi,4.268
carlos rosario,vieques/culebra,fore reef,10,32,0,Porites astreoides,1.444
carlos rosario,vieques/culebra,fore reef,10,32,0,Porites furcata,0.096
carlos rosario,vieques/culebra,fore reef,10,32,0,Porites porites,2.144
carlos rosario,vieques/culebra,fore reef,10,32,0,Siderastrea siderea,0.264
cayo aurora,southwest,reef crest,5,7,0,Acropora cervicornis,0.96
cayo aurora,southwest,reef crest,5,7,0,Acropora palmata,23.630000000000003
cayo aurora,southwest,reef crest,5,7,0,Agaricia agaricites,0.274
cayo aurora,southwest,reef crest,5,7,0,Porites astreoides,0.98
cayo aurora,southwest,reef crest,5,7,0,Pseudodiploria strigosa,0.10600000000000001
cayo aurora,southwest,reef crest,5,7,0,Siderastrea siderea,0.522
cayo caribes (2016),southeast,fore reef,10,6.7,0,Agaricia agaricites,0.45799999999999996
cayo caribes (2016),southeast,fore reef,10,6.7,0,Montastraea cavernosa,4.516
cayo caribes (2016),southeast,fore reef,10,6.7,0,Orbicella annularis,1.4749999999999999
cayo caribes (2016),southeast,fore reef,10,6.7,0,Orbicella faveolata,2.9499999999999997
cayo caribes (2016),southeast,fore reef,10,6.7,0,Porites astreoides,2.116
cayo caribes (2016),southeast,fore reef,10,6.7,0,Pseudodiploria strigosa,0.384
cayo caribes (2016),southeast,fore reef,10,6.7,0,Siderastrea siderea,1.04
cayo coral,southwest,fore reef,5,6,0,Agaricia agaricites,1.1600000000000001
cayo coral,southwest,fore reef,5,6,0,Colpophyllia natans,0.858
cayo coral,southwest,fore reef,5,6,0,Madracis decactis,0.144
cayo coral,southwest,fore reef,5,6,0,Meandrina meandrites,0.192
cayo coral,southwest,fore reef,5,6,0,Montastraea cavernosa,0.994
cayo coral,southwest,fore reef,5,6,0,Orbicella annularis,2.207
cayo coral,southwest,fore reef,5,6,0,Orbicella faveolata,3.57
cayo coral,southwest,fore reef,5,6,0,Orbicella franksi,0.844
cayo coral,southwest,fore reef,5,6,0,Porites astreoides,0.946
cayo coral,southwest,fore reef,5,6,0,Porites porites,0.42
cayo coral,southwest,fore reef,5,6,0,Pseudodiploria strigosa,1.014
cayo coral,southwest,fore reef,5,6,0,Siderastrea siderea,0.8240000000000001
cayo diablo (2016),north/northeast,fore reef,5,10.7,0,Acropora cervicornis,0.37
cayo diablo (2016),north/northeast,fore reef,5,10.7,0,Agaricia agaricites,0.544
